time_from_start,number_of_rows_finished
9385.801859973,0
9400.870563667,32
9401.781621797,64
9402.599402879,96
9403.417595541,128
9405.18080552,160
9405.985664251,192
9406.800114468,224
9407.720140951,256
9409.16948464,288
9410.088276724,320
9411.022574649,352
9411.645458647,384
9413.377875894,416
9414.196868267,448
9415.020612006,480
9416.763339932,512
9417.675751647,544
9418.636500778,576
9419.533447862,608
9420.347108026,640
9421.881044414,672
9422.701468541,704
9423.323249041,736
9425.183548785,768
9426.008299961,800
9426.947305119,832
9428.469192429,864
9429.28275033,896
9430.207691216,928
9431.028114922,960
9432.778878626,992
9433.593058511,1024
9434.409859385,1056
9436.260949834,1088
9437.172502878,1120
9437.987552122,1152
9438.602671972,1184
9439.534527904,1216
9441.079739787,1248
9441.895940937,1280
9443.426890097,1312
9444.356973856,1344
9445.068195189,1376
9445.893463675,1408
9447.630641151,1440
9448.554756686,1472
9449.387641594,1504
9451.112349149,1536
9451.942983625,1568
9452.666994557,1600
9453.473262654,1632
9455.122157409,1664
9456.049236241,1696
9456.77090245,1728
9457.591628953,1760
9459.144353428,1792
9459.962877614,1824
9461.710226863,1856
9462.321904583,1888
9463.251975691,1920
9464.164303358,1952
9466.008094845,1984
9467.032540573,2016
9467.845999798,2048
9468.559768253,2080
9470.020309577,2112
9470.730626584,2144
9472.370863315,2176
9473.288181445,2208
9474.118676724,2240
9474.940449847,2272
9476.681956312,2304
9477.609685014,2336
9478.31916443,2368
9478.948254191,2400
9480.680094384,2432
9481.499597103,2464
9482.415088489,2496
9483.9589873,2528
9484.795626256,2560
9485.723391029,2592
9487.159685941,2624
9488.181389965,2656
9488.999380089,2688
9490.749134877,2720
9491.664652424,2752
9492.489529133,2784
9493.314909474,2816
9494.244594807,2848
9495.784156083,2880
9496.811150367,2912
9497.5323108,2944
9499.378288951,2976
9500.191660231,3008
9501.128057615,3040
9501.746902881,3072
9503.583263705,3104
9504.403319376,3136
9505.323975944,3168
9506.650820765,3200
9507.581199543,3232
9508.900994975,3264
9509.826450321,3296
9510.441960503,3328
9511.978772466,3360
9512.900266873,3392
9514.360681058,3424
9515.390950637,3456
9516.002606851,3488
9517.744249911,3520
9518.457354991,3552
9519.089490878,3584
9520.936404261,3616
9521.852799461,3648
9522.462380138,3680
9524.308531663,3712
9525.235222127,3744
9525.85296413,3776
9527.402196115,3808
9528.3275674,3840
9529.352936349,3872
9531.106394367,3904
9531.821271118,3936
9532.636926219,3968
9534.171510944,4000
9535.10224888,4032
9536.12592511,4064
9536.741295299,4096
9538.505641793,4128
9539.428065212,4160
9540.350655764,4192
9542.094442076,4224
9542.733567133,4256
9543.645965776,4288
9545.40357908,4320
9546.322922081,4352
9547.143267619,4384
9548.063457337,4416
9548.982559108,4448
9550.734346291,4480
9551.651298953,4512
9552.272110457,4544
9553.184734721,4576
9554.957164942,4608
9555.576388629,4640
9556.497543736,4672
9558.337049455,4704
9559.371348894,4736
9560.178781208,4768
9561.097606392,4800
9562.537124963,4832
9563.552384272,4864
9564.200840907,4896
