time_from_start,number_of_rows_finished
59357.012799692,0
59371.37518994,32
59372.400089452,64
59373.327133552,96
59374.453569663,128
59376.395418722,160
59377.321372143,192
59378.353162223,224
59379.466395011,256
59381.406382538,288
59382.426722645,320
59383.24194816,352
59384.263969418,384
59386.202490439,416
59387.124702464,448
59388.143804821,480
59388.967373081,512
59390.899137019,544
59391.928859421,576
59392.841145356,608
59393.881852279,640
59395.834309827,672
59396.754300937,704
59397.571232881,736
59398.285853552,768
59400.029257278,800
59401.97960396,832
59402.999685254,864
59403.927756374,896
59404.967734075,928
59405.789976951,960
59407.521926208,992
59408.542273422,1024
59410.297340444,1056
59411.318837548,1088
59412.444337118,1120
59413.459743025,1152
59415.400832324,1184
59416.527967142,1216
59417.44542436,1248
59418.464718445,1280
59420.206192,1312
59421.132199593,1344
59422.156748712,1376
59423.277580018,1408
59425.014937591,1440
59425.744456652,1472
59426.767473514,1504
59428.504271237,1536
59429.549383351,1568
59431.579391771,1600
59432.293796063,1632
59433.318900313,1664
59434.350276743,1696
59436.102780451,1728
59437.123976928,1760
59438.148847949,1792
59440.096752853,1824
59441.118887066,1856
59442.135070914,1888
59443.16415298,1920
59444.079188291,1952
59445.827911497,1984
59446.835441042,2016
59447.867351268,2048
59449.600153523,2080
59450.621465141,2112
59451.447713465,2144
59453.297049977,2176
59454.219032871,2208
59455.252305199,2240
59457.087830747,2272
59458.111035368,2304
59459.028664065,2336
59460.972284022,2368
59461.780943104,2400
59462.812222908,2432
59463.842041546,2464
59465.77530809,2496
59466.49041326,2528
59467.309357453,2560
59469.050203735,2592
59469.976264555,2624
59471.827135712,2656
59472.842202243,2688
59473.767199104,2720
59474.786615051,2752
59476.527216052,2784
59477.651095054,2816
59478.567671536,2848
59480.614845009,2880
59481.324219253,2912
59482.35436625,2944
59484.394796284,2976
59485.420247033,3008
59486.34139163,3040
59487.158893468,3072
59488.180840243,3104
59490.123129382,3136
59491.042568909,3168
59491.867211803,3200
59493.709612988,3232
59494.625596394,3264
59495.648607269,3296
59497.694431345,3328
59498.718233823,3360
59499.745710047,3392
59500.762856798,3424
59502.816164594,3456
59503.832516841,3488
59504.65522371,3520
59505.676563674,3552
59507.511642639,3584
59508.430912192,3616
59509.146305587,3648
59511.090274464,3680
59512.017345235,3712
59513.85526861,3744
59514.780489978,3776
59515.814359264,3808
59516.834048139,3840
59518.789132793,3872
59519.703288656,3904
59520.723427711,3936
59521.445054184,3968
59523.285980053,4000
59524.212552665,4032
59525.755797107,4064
59526.777640402,4096
59527.818870069,4128
59529.565129976,4160
59530.576558986,4192
59531.603079593,4224
59533.559551379,4256
59534.489620033,4288
59535.515606022,4320
59536.440362311,4352
59537.460257182,4384
59539.49415347,4416
59540.417506995,4448
59541.137043658,4480
59543.186611773,4512
59544.20461589,4544
59545.227067526,4576
59546.964083928,4608
59547.680607129,4640
59548.708758745,4672
59550.748767616,4704
59551.673713236,4736
59552.695389917,4768
59553.621679721,4800
59555.664563246,4832
59556.489448824,4864
59557.441252109,4896
59558.462270599,4928
59560.404275769,4960
59561.42930906,4992
59562.148947606,5024
59563.171277119,5056
59565.030178268,5088
59566.043938939,5120
59566.96324981,5152
59568.897051795,5184
59569.925395455,5216
59570.939156467,5248
59571.645180582,5280
59573.380648377,5312
59574.403738094,5344
59576.356474024,5376
59577.384167373,5408
59578.419317283,5440
59579.547600432,5472
59580.267074786,5504
59582.309374241,5536
59583.330430507,5568
59584.043991203,5600
59586.084173941,5632
59587.112606568,5664
59587.82424582,5696
59588.642063674,5728
59590.38027645,5760
59591.400976569,5792
59593.349988471,5824
59594.166057404,5856
59595.085688282,5888
59597.025331368,5920
59598.056930644,5952
59599.080675168,5984
59600.205083354,6016
59601.942686806,6048
59602.958307126,6080
59603.878823013,6112
59605.630673857,6144
59606.744979164,6176
59607.665333107,6208
59608.898177843,6240
59610.826319708,6272
59611.641859846,6304
59612.558632656,6336
59614.29243705,6368
59615.315846798,6400
59616.235089402,6432
59617.771701986,6464
59618.79995674,6496
59619.526753156,6528
59621.56725957,6560
59622.593287965,6592
59623.311758764,6624
59625.252048654,6656
59626.270330802,6688
59627.199026333,6720
59628.950397078,6752
59630.075802292,6784
59630.786569045,6816
59631.908544898,6848
59633.847913962,6880
59634.874648159,6912
59635.585991762,6944
59637.330452025,6976
59638.45478409,7008
59639.4777615,7040
59641.424228479,7072
59642.344259697,7104
59643.370846741,7136
59644.287678633,7168
59646.127348051,7200
59647.047542766,7232
59647.861920757,7264
59649.80465463,7296
59650.825063824,7328
59651.642219924,7360
59652.666435986,7392
59654.413352047,7424
59655.332056113,7456
59657.286562445,7488
59658.325439895,7520
59659.247411359,7552
59660.273529854,7584
59661.19285092,7616
59663.236445263,7648
59664.258045549,7680
59665.085864613,7712
59665.912665608,7744
59667.655768945,7776
59668.673598165,7808
59670.408853193,7840
59671.223030545,7872
59672.148935306,7904
59674.091464296,7936
59675.127187852,7968
59676.145995729,8000
59677.871090687,8032
59678.884150019,8064
59679.606141828,8096
59681.343499311,8128
59682.361043463,8160
59683.073100806,8192
59684.920386122,8224
59685.8409518,8256
59687.689955246,8288
59688.405343568,8320
59689.441145072,8352
59691.185513729,8384
59692.105274933,8416
59693.135322586,8448
59695.174146276,8480
59695.90209081,8512
