time_from_start,number_of_rows_finished
0,0
1851.7343001365662,32
1852.7198240756989,64
1852.7903079986572,66
1853.0146660804749,73
1856.2535464763641,105
1856.5699834823608,115
1858.6697607040405,147
1858.984400510788,157
1861.5897362232208,189
1862.567894935608,221
1863.069133758545,253
1863.2253813743591,285
1863.5494248867035,317
1863.8631844520569,327
1864.06484913826,359
1864.1467633247375,368
1864.2114849090576,400
1864.3826384544373,410
1864.461830854416,420
1864.7026970386505,430
1865.2009122371674,462
1865.6339297294617,473
1865.6978118419647,505
1866.0135955810547,515
1866.5198607444763,547
1866.6413838863373,579
1866.8325686454773,589
1866.9871761798859,600
1867.0559368133545,602
1867.370185136795,612
1868.5330550670624,644
1868.8492720127106,654
1869.7072796821594,686
1870.8762402534485,718
1871.8569951057434,750
1872.711613893509,782
1872.8389239311218,814
1873.1562962532043,824
1873.4849865436554,834
1873.5606925487518,866
1873.7150843143463,898
1873.8166596889496,908
1873.8751120567322,918
1873.938063621521,925
1874.1537492275238,935
1874.8790202140808,967
1874.9291095733643,999
1874.9681668281555,1031
1875.242063999176,1041
1875.2795674800873,1051
1875.281355381012,1052
1875.9468121528625,1084
1876.6355819702148,1116
1876.9896173477173,1148
1877.037596464157,1161
1877.9759376049042,1193
1878.0276601314545,1225
1878.0466139316559,1227
1878.3410725593567,1237
1878.4571890830994,1250
1878.6220390796661,1255
1879.0365951061249,1268
1880.2817244529724,1300
1880.5985341072083,1310
1881.5823554992676,1342
1881.6840975284576,1345
1883.2681074142456,1377
1883.2953205108643,1409
1883.6107230186462,1419
1883.6666157245636,1431
1884.166363954544,1463
1884.6027200222015,1495
1884.6532340049744,1527
1884.6730711460114,1529
1885.1577365398407,1561
1885.5993251800537,1571
1885.6399903297424,1603
1886.0466322898865,1616
1886.8216297626495,1648
1886.9086558818817,1650
1887.03413772583,1682
1887.4116373062134,1694
1887.4845125675201,1696
1888.0662972927094,1728
1888.325394153595,1760
1888.3806476593018,1770
1888.6411628723145,1780
1890.2092244625092,1812
1890.572591304779,1844
1890.857227563858,1853
1892.9111156463623,1885
1893.2264096736908,1895
1893.9249813556671,1927
1894.9460792541504,1959
1895.2619218826294,1969
1895.5444774627686,1977
1896.655086517334,2009
1896.910168170929,2041
1897.0598061084747,2054
1897.2666263580322,2086
1897.9575262069702,2118
1898.2726209163666,2128
1898.3440012931824,2160
1898.4451801776886,2163
1898.6739962100983,2176
1898.819026708603,2188
1900.2759504318237,2220
1900.6136898994446,2252
1900.9261004924774,2262
1901.3230276107788,2294
1901.4567608833313,2298
1901.769532442093,2308
1902.4018249511719,2340
1903.008544921875,2372
1903.4443690776825,2404
1903.6675493717194,2411
1903.9823184013367,2421
1904.0094938278198,2453
1904.3238310813904,2463
1904.697273015976,2475
1906.8584339618683,2507
1907.5223529338837,2539
1907.8341660499573,2571
1908.1452476978302,2603
1908.4124286174774,2635
1908.4623444080353,2645
1908.6029644012451,2677
1908.82137966156,2709
1908.889565706253,2711
1909.0045955181122,2724
1909.046321630478,2729
1909.4036347866058,2742
1909.4039962291718,2774
1909.750984430313,2785
1910.0336513519287,2817
1910.061894416809,2827
1910.3424799442291,2837
1910.4086999893188,2839
1914.099231004715,2871
1914.4176542758942,2881
1915.6212239265442,2913
1915.935979127884,2923
1916.7820558547974,2955
1916.917078256607,2959
1917.0163979530334,2991
1917.3936760425568,3003
1919.2558808326721,3035
1920.156653881073,3067
1920.2328958511353,3099
1920.2578752040863,3102
1920.542976617813,3112
1920.9439532756805,3125
1921.4671058654785,3157
1921.7815396785736,3167
1923.3242905139923,3199
1924.348935842514,3231
1924.4991974830627,3263
1924.6618678569794,3273
1925.592363357544,3305
1925.655246257782,3337
1925.7261927127838,3339
1925.791804075241,3341
1925.9019560813904,3351
1926.194581270218,3383
1926.2417042255402,3394
1927.2694189548492,3426
1927.5311386585236,3458
1927.5812287330627,3468
1927.8519308567047,3478
1927.8955307006836,3488
1928.8913071155548,3520
1929.8795080184937,3552
1930.2813110351562,3565
1930.3186967372894,3566
1932.5138936042786,3598
1932.8243045806885,3608
1933.3362760543823,3640
1933.799443244934,3672
1934.1124920845032,3682
1934.3260369300842,3714
1934.6262273788452,3746
1934.6411702632904,3756
1935.0866634845734,3788
1935.2467288970947,3793
1935.753720998764,3825
1936.0088493824005,3857
1936.3372457027435,3867
1936.7616953849792,3899
1936.8616111278534,3902
1937.17258644104,3912
1937.3595674037933,3944
1937.4494502544403,3976
1937.4842398166656,3986
1937.7585861682892,3999
1937.769586801529,4009
