time_from_start,number_of_rows_finished
3190.25,32
3190.5,64
3190.75,96
3191.0,128
3198.0,160
3199.5,192
3200.0,224
3201.0,256
3206.0,288
3208.5,320
3209.0,352
3210.0,384
3213.0,416
3218.0,448
3218.5,480
3219.0,512
3220.0,544
3226.25,576
3226.5,608
3226.75,640
3227.0,672
3233.5,704
3234.0,736
3235.5,768
3236.0,800
3241.0,832
3242.0,864
3243.0,896
3244.0,928
3248.0,960
3249.0,992
3250.0,1024
3251.0,1056
3255.5,1088
3256.0,1120
3257.0,1152
3258.0,1184
3262.5,1216
3263.0,1248
3264.0,1280
3265.0,1312
3269.5,1344
3270.0,1376
3272.0,1408
3273.0,1440
3278.0,1472
3279.0,1504
3280.0,1536
3281.0,1568
3284.5,1600
3285.0,1632
3287.0,1664
3288.0,1696
3292.0,1728
3293.0,1760
3294.0,1792
3295.0,1824
3298.5,1856
3299.0,1888
3301.0,1920
3303.0,1952
3306.0,1984
3307.0,2016
3308.0,2048
3311.0,2080
3313.0,2112
3315.5,2144
3316.0,2176
3318.0,2208
3321.0,2240
3323.0,2272
3324.0,2304
3325.0,2336
3328.0,2368
3330.0,2400
3331.0,2432
3332.0,2464
3336.0,2496
3338.5,2528
3339.0,2560
3340.0,2592
3343.0,2624
3347.0,2656
3347.5,2688
3348.0,2720
3352.0,2752
3354.0,2784
3356.0,2816
3357.0,2848
3359.0,2880
3362.0,2912
3364.5,2944
3365.0,2976
3366.0,3008
3369.0,3040
3372.3333332538605,3072
3372.6666667461395,3104
3373.0,3136
3376.0,3168
3380.0,3200
3380.5,3232
3381.0,3264
3383.0,3296
3388.0,3328
3388.5,3360
3389.0,3392
3390.0,3424
3394.0,3456
3397.0,3488
3397.5,3520
3398.0,3552
3401.0,3584
3404.0,3616
3405.0,3648
3406.0,3680
3409.0,3712
3412.5,3744
3413.0,3776
3414.0,3808
3416.0,3840
3420.5,3872
3421.0,3904
3422.0,3936
3424.0,3968
3428.0,4000
3429.5,4032
3430.0,4064
3431.0,4096
3435.0,4128
3437.3333332538605,4160
3437.6666667461395,4192
3438.0,4224
3443.0,4256
3445.0,4288
3445.5,4320
3446.0,4352
3450.0,4384
3452.0,4416
3452.5,4448
3453.0,4480
3457.0,4512
3458.5,4544
3459.0,4576
3460.0,4608
3465.0,4640
3466.0,4672
3466.5,4704
3467.0,4736
3472.3333332538605,4768
3472.6666667461395,4800
3473.0,4832
3474.0,4864
3479.5,4896
3480.0,4928
3480.5,4960
3481.0,4992
3487.0,5024
3487.5,5056
3488.0,5088
3489.0,5120
3494.0,5152
3495.0,5184
3496.0,5216
3497.0,5248
3501.0,5280
3503.0,5312
3503.5,5344
3504.0,5376
3508.0,5408
3510.0,5440
3511.5,5472
3512.0,5504
3516.0,5536
3517.0,5568
3519.5,5600
3520.0,5632
3522.0,5664
3525.0,5696
3527.5,5728
3528.0,5760
3529.0,5792
3533.0,5824
3535.0,5856
3536.0,5888
3537.0,5920
3540.0,5952
3543.0,5984
3543.5,6016
3544.0,6048
3548.0,6080
3550.0,6112
3551.0,6144
3552.0,6176
3555.0,6208
3557.0,6240
3559.5,6272
3560.0,6304
3562.0,6336
3565.0,6368
3567.0,6400
3568.0,6432
3570.0,6464
3572.0,6496
3575.0,6528
3576.0,6560
3577.0,6592
3579.0,6624
3582.0,6656
3583.0,6688
3584.0,6720
3586.0,6752
3590.0,6784
3590.5,6816
3591.0,6848
3594.0,6880
3597.5,6912
3598.0,6944
3599.0,6976
3601.0,7008
3605.0,7040
3605.5,7072
3606.0,7104
3608.0,7136
3612.0,7168
3613.5,7200
3614.0,7232
3616.0,7264
3619.0,7296
3621.0,7328
3622.0,7360
3623.0,7392
3626.0,7424
3628.0,7456
3629.0,7488
3631.0,7520
3633.0,7552
3635.0,7584
3636.0,7616
3638.0,7648
3640.0,7680
3642.0,7712
3643.0,7744
3645.0,7776
3647.0,7808
3649.5,7840
3650.0,7872
3652.0,7904
3654.0,7936
3658.0,7968
3659.0,8000
3660.0,8032
3662.0,8064
3667.3333332538605,8096
3667.6666667461395,8128
3668.0,8160
3669.0,8192
3675.0,8224
3676.0,8256
3676.5,8288
3677.0,8320
3682.5,8352
3683.0,8384
3684.0,8416
3685.0,8448
3689.5,8480
3690.0,8512
3692.0,8544
3693.0,8576
3696.5,8608
3697.0,8640
3700.0,8672
3701.0,8704
3703.5,8736
3704.0,8768
3707.0,8800
3709.0,8832
3711.0,8864
3712.0,8896
3715.0,8928
3716.0,8960
3718.0,8992
